,contry,Industry,Market_Cap,P_E,Avg_Volume,EPS_this_Y,EPS_next_Y,rating,Global_Company_Size,Founded,Revenue,Recommend_to_friend,Approve_of_CEO,inSNP500,Index
2094,0,12,73560000000.0,1,1860000.0,47.10,0.00,3.4,10000+ Employees,1864.0,$10+ billion (USD),2.95,4.15,0,NYSE
2095,1,84,3540000000.0,1,2620000.0,138.40,111.55,3.3,1001 to 5000 Employees,1907.0,$5 to $10 billion (USD),1.85,2.9,0,NYSE
2096,0,90,664160000.0,0,4740000.0,-128.70,133.30,3.4,201 to 500 Employees,1996.0,$50 to $100 million (USD),3.3,3.65,0,NYSE
2097,1,13,513070000.00000006,1,48740.0,41.10,-22.64,3.8,10000+ Employees,1850.0,$10+ billion (USD),3.75,4.55,0,NASD
2098,1,116,3110000000.0,1,27370000.0,-59.00,0.00,2.7,51 to 200 Employees,1993.0,$10 to $25 million (USD),1.45,3.7,0,NASD
2099,1,126,2109999999.9999998,1,822520.0,14.20,12.65,3.2,1001 to 5000 Employees,1857.0,$500 million to $1 billion (USD),2.55,2.75,0,NYSE
2100,0,119,989690000.0,0,1250000.0,-306.30,26.35,2.4,1001 to 5000 Employees,1996.0,$500 million to $1 billion (USD),1.95,2.5,0,NYSE
2101,1,119,26800000000.0,0,2510000.0,455.87,299.40,4.0,5001 to 10000 Employees,1983.0,$2 to $5 billion (USD),3.95,4.45,1,NASD
2102,1,119,2820000000.0,0,464930.0,-381.10,10.45,3.5,1001 to 5000 Employees,2003.0,$500 million to $1 billion (USD),3.15,4.15,0,NYSE
2103,1,92,740360000.0,1,142130.0,-50.70,10.68,2.3,1001 to 5000 Employees,1933.0,$500 million to $1 billion (USD),1.35,1.35,0,NYSE
2104,1,13,211840000.0,0,29770.0,-204.50,-2.17,2.8,201 to 500 Employees,2002.0,$25 to $50 million (USD),2.4,2.45,0,NASD
2105,1,35,2170000000.0,1,548520.0,63.40,205.60,3.7,1001 to 5000 Employees,1991.0,$500 million to $1 billion (USD),3.35,2.9,0,NASD
2106,1,78,54960000.0,0,81680.0,82.30,-26.54,4.2,1 to 50 Employees,1996.0,Less than $1 million (USD),3.5,5.0,0,AMEX
2107,0,17,2029999999.9999998,0,793870.0,15.80,31.60,3.8,51 to 200 Employees,1996.0,$100 to $500 million (USD),3.45,5.0,0,NYSE
2108,1,44,1450000000.0,1,138620.0,54.10,6.17,3.5,5001 to 10000 Employees,1891.0,$1 to $2 billion (USD),3.2,4.3,0,NASD
2109,1,91,89700000.0,0,26330.0,-126.70,0.00,2.7,201 to 500 Employees,1980.0,$100 to $500 million (USD),1.9,4.25,0,NASD
2110,1,16,2800000000.0,0,688200.0,46.50,-26.54,4.8,201 to 500 Employees,1976.0,$10 to $25 million (USD),4.75,5.0,0,NYSE
2111,1,78,4590000000.0,0,593800.0,29.60,511.58,4.7,1 to 50 Employees,1996.0,$100 to $500 million (USD),5.0,5.0,0,NASD
2112,1,115,298580000.0,1,10250.0,-15.60,0.00,3.1,201 to 500 Employees,1916.0,$50 to $100 million (USD),2.15,2.55,0,NASD
2113,1,121,5510000000.0,1,521360.0,-10.80,99.57,3.8,5001 to 10000 Employees,1976.0,$1 to $2 billion (USD),3.5,3.55,0,NASD
2114,1,59,382770000.0,1,79850.0,210.60,365.12,4.2,501 to 1000 Employees,1972.0,$100 to $500 million (USD),3.8,4.85,0,NASD
2115,1,17,56600000.0,0,200210.0,37.30,501.26,4.6,1 to 50 Employees,1983.0,$10 to $25 million (USD),5.0,5.0,0,AMEX
2116,1,33,3210000000.0,0,1890000.0,-17.50,-17.26,3.7,5001 to 10000 Employees,2014.0,$2 to $5 billion (USD),3.5,4.05,0,NASD
2117,1,15,309460000.0,0,1610000.0,64.90,373.30,5.0,501 to 1000 Employees,1996.0,$100 to $500 million (USD),5.0,5.0,0,NASD
2118,1,13,1130000000.0,1,170700.0,11.80,501.26,4.1,1001 to 5000 Employees,2009.0,$100 to $500 million (USD),4.1,4.3,0,NYSE
2119,1,17,9690000000.0,1,1090000.0,977.20,85.87,3.9,501 to 1000 Employees,1992.0,$500 million to $1 billion (USD),3.6,4.4,0,NASD
2120,1,13,236940000.0,1,36400.0,66.80,0.00,3.2,51 to 200 Employees,1987.0,$50 to $100 million (USD),2.4,1.65,0,NASD
2121,0,83,808590000.0,1,176530.0,-12.60,29.60,3.3,10000+ Employees,1996.0,$2 to $5 billion (USD),3.15,2.4,0,NYSE
2122,0,17,48110000.0,1,3880000.0,51.50,42.30,3.0,1001 to 5000 Employees,2005.0,$100 to $500 million (USD),5.0,5.0,0,NASD
2123,1,13,1580000000.0,0,141240.0,-13.50,-11.48,3.7,1001 to 5000 Employees,1996.0,$100 to $500 million (USD),3.8,4.65,0,NASD
2124,1,17,30850000.0,0,990280.0,35.10,21.40,3.6,51 to 200 Employees,1996.0,$10 to $25 million (USD),2.55,5.0,0,AMEX
2125,1,132,180710000.0,0,26210.0,455.87,123.60,5.0,1001 to 5000 Employees,1913.0,$500 million to $1 billion (USD),5.0,5.0,0,NYSE
2126,1,135,11300000000.0,1,19110000.0,-466.60,104.10,3.6,10000+ Employees,1966.0,$2 to $5 billion (USD),3.25,3.7,1,NYSE
2127,1,0,390230000.0,0,574010.0,-280.80,172.20,3.5,501 to 1000 Employees,2007.0,$100 to $500 million (USD),2.9,2.85,0,NASD
2128,1,121,6050000000.0,1,925370.0,455.87,511.58,4.8,1001 to 5000 Employees,2012.0,$100 to $500 million (USD),4.7,4.9,0,NASD
2129,1,61,5670000000.0,0,1210000.0,-108.50,29.25,3.6,10000+ Employees,1884.0,$5 to $10 billion (USD),3.45,4.35,0,NYSE
2130,1,85,68530000.0,1,16090.0,455.87,290.30,4.0,51 to 200 Employees,2006.0,$100 to $500 million (USD),4.05,4.4,0,NASD
2131,0,42,161370000.0,1,2830000.0,235.40,0.00,3.3,201 to 500 Employees,1996.0,$50 to $100 million (USD),0.0,0.0,0,NASD
2132,1,49,28080000000.0,0,746800.0,20.60,436.60,4.1,1001 to 5000 Employees,1971.0,$2 to $5 billion (USD),4.0,4.95,1,NASD
2133,1,115,538560000.0,0,207900.0,200.00,53.31,3.6,10000+ Employees,1995.0,$100 to $500 million (USD),2.65,3.65,0,NASD
2134,1,126,12560000000.0,0,204470.0,-27.40,10.52,3.8,5001 to 10000 Employees,1956.0,$2 to $5 billion (USD),3.45,3.5,0,NASD
2135,1,140,143770000000.0,0,8109999.999999999,-23.10,8.00,3.8,10000+ Employees,1996.0,$10+ billion (USD),3.45,4.4,1,NYSE
2136,1,54,50700000000.0,0,7040000.0,455.87,436.60,4.4,10000+ Employees,1921.0,$5 to $10 billion (USD),4.55,4.8,1,NYSE
2137,1,35,5060000000.0,1,773050.0,455.87,317.70,4.0,501 to 1000 Employees,2001.0,$100 to $500 million (USD),3.9,5.0,0,NASD
2138,1,35,4750000000.0,0,364950.0,-2.00,13.81,2.8,1001 to 5000 Employees,1981.0,$100 to $500 million (USD),1.8,2.75,0,NASD
2139,0,41,70300000.0,0,39250.0,5.80,67.30,3.7,1 to 50 Employees,1996.0,$10 to $25 million (USD),1.8,5.0,0,NASD
