,Unnamed: 0,contry,Industry,Market_Cap,P_E,Avg_Volume,EPS_this_Y,EPS_next_Y,rating,Global_Company_Size,Founded,Revenue,Recommend_to_friend,Approve_of_CEO,inSNP500,Index,this_next_EPS,recomend_rating
185,185,1,13,103380000.0,0,35970,27.9,319.2,4.0,6,1983,2,2.75,5.0,0,1,347.09999999999997,6.75
186,186,1,44,3010000000.0,1,424580,18.3,360.18699999999995,4.1,2,2004,10,4.55,4.9,0,2,378.48699999999997,8.649999999999999
187,187,1,22,555440000.0,0,120920,-254.3,-63.83,2.6,6,1996,7,1.1,1.7,0,1,-318.13,3.7
188,188,0,17,1930000000.0,1,4190000,28.7,410.8,4.0,3,1996,9,4.15,4.5,0,1,439.5,8.15
189,189,1,125,4550000000.0,1,3770000,29.6,90.6,3.8,3,2003,4,3.85,2.85,0,1,120.19999999999999,7.65
190,190,1,38,1580000000.0,1,1050000,95.4,9.95,3.6,4,2002,0,3.55,4.45,0,2,105.35000000000001,7.15
191,191,1,126,406300000.0,0,452100,-16.6,78.7,2.4,3,1987,9,1.6,1.25,0,1,62.1,4.0
192,192,1,67,1140000000.0,0,76690,7.5,4.7,3.8,3,1986,4,2.9,3.8,0,1,12.2,6.699999999999999
193,193,1,121,45950000.0,0,1390000,-5.9,56.6,2.6,0,2017,4,1.7,0.0,0,1,50.7,4.3
194,194,1,121,830830000.0,1,153900,85.7,46.0,3.8,5,1970,4,3.25,3.3,0,1,131.7,7.05
195,195,1,13,718530000.0,0,80970,485.37,5.23,3.8,5,1987,4,4.05,4.3,0,1,490.6,7.85
196,196,1,17,1620000000.0,0,294050,24.59,498.5,5.0,0,1996,1,5.0,5.0,0,1,523.09,10.0
197,197,1,88,439030000.0,1,1870000,0.0,681.83,4.4,6,1996,4,3.4,5.0,0,1,681.83,7.800000000000001
198,198,1,52,1380000000.0,0,94190,485.37,18.86,3.5,1,1980,0,3.35,3.9,0,1,504.23,6.85
199,199,1,56,3260000000.0,1,4100000,485.37,22.4,3.9,3,2007,4,3.75,4.8,0,2,507.77,7.65
200,200,0,38,420850000.0,0,67590,107.0,373.3,4.6,0,1996,4,4.6,5.0,0,1,480.3,9.2
201,201,1,9,6930000000.0,1,820380,485.37,-4.49,3.3,1,1996,3,2.6,3.3,0,2,480.88,5.9
202,202,1,17,669070000.0,0,254830,79.7,19.49,3.8,6,2005,2,4.15,5.0,0,1,99.19,7.95
203,203,1,63,4000000000.0,1,55320,485.37,0.0,3.0,6,1970,8,2.7,2.7,0,1,485.37,5.7
204,204,1,50,983390000.0,0,142440,485.37,10.07,3.5,2,1947,5,3.3,4.15,0,1,495.44,6.8
205,205,1,27,28090000000.0,1,427200,-24.9,312.85,4.2,2,2004,5,4.2,4.5,1,2,287.95000000000005,8.4
206,206,1,7,2350000000.0,0,1670000,485.37,-9.75,3.7,1,1892,5,3.3,4.45,0,2,475.62,7.0
207,207,1,70,6830000000.0,0,1520000,-118.8,69.2,3.2,2,1995,0,2.3,1.95,0,1,-49.599999999999994,5.5
208,208,1,17,409340000.0,0,81970,-33.2,14.2,2.9,0,1996,1,1.65,5.0,0,1,-19.000000000000004,4.55
209,209,1,80,974740000.0,1,240600,-44.4,55.32,3.2,2,1988,4,2.55,3.0,0,1,10.920000000000002,5.75
210,210,1,17,593850000.0,1,137590,485.37,466.32,3.3,6,1992,4,1.7,2.9,0,1,951.69,5.0
211,211,1,38,424320000.0,0,58610,485.37,23.02,3.9,6,1996,4,4.0,5.0,0,1,508.39,7.9
212,212,1,35,125890000.0,1,404100,23.4,285.63,5.0,0,1996,4,5.0,5.0,0,1,309.03,10.0
213,213,1,121,28820000000.0,0,435660,-5.0,498.5,4.2,2,1970,0,4.3,4.85,1,1,493.5,8.5
